y,b,prop_B_mantida,prop_O_mantida,prop_Y_mantida
19,22,1.0,1.0,0.97
19,23,1.0,1.0,0.99
19,24,1.0,1.0,1.0
19,25,1.0,1.0,0.04
20,21,1.0,1.0,0.93
20,22,1.0,1.0,1.0
20,23,1.0,1.0,1.0
20,24,1.0,1.0,1.0
20,25,1.0,1.0,0.79
16,26,1.0,1.0,0.0
16,27,1.0,1.0,0.0
16,28,1.0,1.0,0.0
16,29,1.0,1.0,0.0
16,30,1.0,1.0,0.0
17,26,1.0,1.0,0.0
17,27,1.0,1.0,0.0
17,28,1.0,1.0,0.0
17,29,1.0,1.0,0.0
17,30,1.0,1.0,0.0
18,26,1.0,1.0,0.0
18,27,1.0,1.0,0.0
18,28,1.0,1.0,0.0
18,29,1.0,1.0,0.0
18,30,1.0,1.0,0.0
19,26,1.0,1.0,0.0
19,27,1.0,1.0,0.0
19,28,1.0,1.0,0.0
19,29,1.0,1.0,0.0
19,30,1.0,1.0,0.0
20,26,1.0,1.0,0.05
20,27,1.0,1.0,0.0
20,28,1.0,1.0,0.0
20,29,1.0,1.0,0.0
20,30,1.0,1.0,0.0
16,31,1.0,1.0,0.0
16,32,1.0,0.99,0.0
16,33,1.0,0.97,0.0
16,34,1.0,0.88,0.0
16,35,1.0,0.83,0.0
17,31,1.0,1.0,0.0
17,32,1.0,1.0,0.0
17,33,1.0,0.97,0.0
17,34,1.0,0.89,0.0
17,35,1.0,0.83,0.0
18,31,1.0,1.0,0.0
18,32,1.0,1.0,0.0
18,33,1.0,0.97,0.0
18,34,1.0,0.9,0.0
18,35,1.0,0.88,0.0
19,31,1.0,1.0,0.0
19,32,1.0,1.0,0.0
19,33,1.0,0.98,0.0
19,34,1.0,0.92,0.0
19,35,1.0,0.88,0.0
20,31,1.0,1.0,0.0
20,32,1.0,1.0,0.0
20,33,1.0,0.98,0.0
20,34,1.0,0.94,0.0
20,35,1.0,0.89,0.0
16,36,1.0,0.68,0.0
16,37,1.0,0.72,0.0
16,38,1.0,0.83,0.0
16,39,1.0,0.85,0.0
16,40,1.0,0.86,0.0
17,36,1.0,0.7,0.0
17,37,1.0,0.73,0.0
17,38,1.0,0.85,0.0
